1.980e+02,4.728e-241
2.125e+02,,2.040e-17
2.125e+02,,1.970e-17
2.125e+02,,1.862e-17
2.125e+02,,1.721e-17
2.126e+02,,1.560e-17
2.126e+02,,1.388e-17
2.126e+02,,1.215e-17
2.126e+02,,1.050e-17
2.126e+02,,8.980e-18
2.127e+02,,7.630e-18
2.127e+02,,6.466e-18
2.127e+02,,5.489e-18
2.127e+02,,4.684e-18
2.127e+02,,4.032e-18
2.128e+02,,3.512e-18
2.128e+02,,3.100e-18
2.128e+02,,2.776e-18
2.128e+02,,2.522e-18
2.128e+02,,2.324e-18
2.129e+02,,2.171e-18
2.129e+02,,2.055e-18
2.129e+02,,1.967e-18
2.129e+02,,1.905e-18
2.129e+02,,1.864e-18
2.130e+02,,1.842e-18
2.130e+02,,1.839e-18
2.130e+02,,1.854e-18
2.130e+02,,1.887e-18
2.130e+02,,1.939e-18
2.131e+02,,2.013e-18
2.131e+02,,2.111e-18
2.131e+02,,2.239e-18
2.131e+02,,2.401e-18
2.131e+02,,2.608e-18
2.132e+02,,2.869e-18
2.132e+02,,3.199e-18
2.132e+02,,3.617e-18
2.132e+02,,4.145e-18
2.132e+02,,4.809e-18
2.133e+02,,5.638e-18
2.133e+02,,6.659e-18
2.133e+02,,7.898e-18
2.133e+02,,9.371e-18
2.133e+02,,1.108e-17
2.134e+02,,1.300e-17
2.134e+02,,1.509e-17
2.134e+02,,1.727e-17
2.134e+02,,1.945e-17
2.134e+02,,2.148e-17
2.135e+02,,2.325e-17
2.135e+02,,2.463e-17
2.135e+02,,2.550e-17
2.135e+02,,2.580e-17
2.135e+02,,2.550e-17
2.136e+02,,2.462e-17
2.136e+02,,2.324e-17
2.136e+02,,2.147e-17
2.136e+02,,1.942e-17
2.136e+02,,1.725e-17
2.137e+02,,1.506e-17
2.137e+02,,1.296e-17
2.137e+02,,1.104e-17
2.137e+02,,9.322e-18
2.137e+02,,7.842e-18
2.138e+02,,6.596e-18
2.138e+02,,5.567e-18
2.138e+02,,4.730e-18
2.138e+02,,4.057e-18
2.138e+02,,3.520e-18
2.139e+02,,3.091e-18
2.139e+02,,2.749e-18
2.139e+02,,2.474e-18
2.139e+02,,2.254e-18
2.139e+02,,2.074e-18
2.140e+02,,1.929e-18
2.140e+02,,1.809e-18
2.140e+02,,1.711e-18
2.140e+02,,1.631e-18
2.140e+02,,1.566e-18
2.141e+02,,1.513e-18
2.141e+02,,1.471e-18
2.141e+02,,1.440e-18
2.141e+02,,1.417e-18
2.141e+02,,1.403e-18
2.142e+02,,1.396e-18
2.142e+02,,1.397e-18
2.142e+02,,1.406e-18
2.142e+02,,1.422e-18
2.142e+02,,1.447e-18
2.143e+02,,1.480e-18
2.143e+02,,1.523e-18
2.143e+02,,1.576e-18
2.143e+02,,1.641e-18
2.143e+02,,1.719e-18
2.144e+02,,1.812e-18
2.144e+02,,1.924e-18
2.144e+02,,2.059e-18
2.144e+02,,2.220e-18
2.144e+02,,2.415e-18
2.145e+02,,2.652e-18
2.145e+02,,2.942e-18
2.145e+02,,3.301e-18
2.145e+02,,3.748e-18
2.145e+02,,4.306e-18
2.146e+02,,5.004e-18
2.146e+02,,5.877e-18
2.146e+02,,6.960e-18
2.146e+02,,8.292e-18
2.146e+02,,9.903e-18
2.147e+02,,1.182e-17
2.147e+02,,1.403e-17
2.147e+02,,1.652e-17
2.147e+02,,1.923e-17
2.147e+02,,2.205e-17
2.148e+02,,2.486e-17
2.148e+02,,2.750e-17
2.148e+02,,2.979e-17
2.148e+02,,3.156e-17
2.148e+02,,3.269e-17
2.149e+02,,3.308e-17
2.149e+02,,3.269e-17
2.149e+02,,3.156e-17
2.149e+02,,2.978e-17
2.149e+02,,2.749e-17
2.150e+02,,2.485e-17
2.150e+02,,2.204e-17
2.150e+02,,1.922e-17
2.150e+02,,1.651e-17
2.150e+02,,1.402e-17
2.151e+02,,1.181e-17
2.151e+02,,9.895e-18
2.151e+02,,8.284e-18
2.151e+02,,6.952e-18
2.151e+02,,5.867e-18
2.152e+02,,4.993e-18
2.152e+02,,4.293e-18
2.152e+02,,3.733e-18
2.152e+02,,3.283e-18
2.152e+02,,2.921e-18
2.153e+02,,2.626e-18
2.153e+02,,2.384e-18
2.153e+02,,2.184e-18
2.153e+02,,2.017e-18
2.153e+02,,1.877e-18
2.154e+02,,1.757e-18
2.154e+02,,1.656e-18
2.154e+02,,1.569e-18
2.154e+02,,1.494e-18
2.154e+02,,1.430e-18
2.155e+02,,1.375e-18
2.155e+02,,1.327e-18
2.155e+02,,1.287e-18
2.155e+02,,1.253e-18
2.155e+02,,1.224e-18
2.156e+02,,1.201e-18
2.156e+02,,1.182e-18
2.156e+02,,1.168e-18
2.156e+02,,1.158e-18
2.156e+02,,1.152e-18
2.157e+02,,1.151e-18
2.157e+02,,1.153e-18
2.157e+02,,1.160e-18
2.157e+02,,1.170e-18
2.157e+02,,1.185e-18
2.158e+02,,1.204e-18
2.158e+02,,1.228e-18
2.158e+02,,1.256e-18
2.158e+02,,1.290e-18
2.158e+02,,1.329e-18
2.159e+02,,1.375e-18
